id,name,faction,type,energy,atk,hp,effect,tooltip
VD-A01,Virus,VOID,AGENT,1,2,1,"On play: deal 1 damage to opponent HP","A virus is malicious code that spreads by attaching itself to other programs"
VD-A02,Worm,VOID,AGENT,2,1,3,"On play: summon one 1/1 Worm Token","A worm spreads across networks on its own without needing a host file"
VD-A03,Trojan Horse,VOID,AGENT,3,3,2,"On play: draw 1 card","A trojan disguises itself as safe software to trick users into installing it"
VD-A04,Ransomware,VOID,AGENT,3,2,3,"On attack: the damaged Agent cannot attack next turn","Ransomware locks a victim's files and demands payment to restore access"
VD-A05,Keylogger,VOID,AGENT,2,1,2,"On play: reveal 1 random card from opponent hand","A keylogger secretly records everything a user types to steal passwords"
VD-A06,Spyware,VOID,AGENT,2,1,2,"On play: reveal opponent full hand","Spyware silently collects user data and sends it to the attacker"
VD-A07,Rootkit,VOID,AGENT,4,2,4,"Cannot be targeted by Exploits","A rootkit hides deep in a system giving attackers long-term hidden access"
VD-A08,Botnet Node,VOID,AGENT,2,1,2,"On play: summon two 1/1 Botnet Tokens","A botnet is a network of infected computers controlled by one attacker"
VD-A09,Logic Bomb,VOID,AGENT,3,4,1,"When destroyed: deal 2 damage to opponent HP","A logic bomb is hidden code that triggers a harmful action when a condition is met"
VD-A10,Fileless Malware,VOID,AGENT,3,3,1,"Cannot be targeted by Protocols","Fileless malware runs in memory only making it very hard to detect"
VD-A11,Polymorphic Virus,VOID,AGENT,3,2,2,"Gains +1 ATK each turn it survives","Polymorphic viruses change their code constantly to avoid detection"
VD-A12,Cryptojacker,VOID,AGENT,2,1,3,"On play: opponent loses 1 Energy this turn","Cryptojacking secretly uses a victim's device to mine cryptocurrency"
VD-A13,Backdoor,VOID,AGENT,3,2,2,"Can attack opponent HP directly ignoring Taunt","A backdoor is a hidden entry point that lets attackers bypass normal login"
VD-A14,APT,VOID,AGENT,5,2,5,"Taunt. Restores 1 HP to itself each turn","An APT is a long-term stealthy attack where attackers stay hidden for months"
VD-A15,Brute Force Bot,VOID,AGENT,3,1,4,"Gains +1 ATK after each attack whether it destroys a target or not","Brute force attacks try every possible password until one works"
VD-A16,Man-in-the-Middle,VOID,AGENT,3,1,3,"On play: cancel the last Exploit played this turn","A MITM attack secretly intercepts communication between two parties"
VD-A17,Scareware,VOID,AGENT,2,1,2,"On play: opponent discards 1 random card","Scareware uses fake warnings to frighten users into harmful actions"
VD-A18,Dropper,VOID,AGENT,3,2,2,"On play: summon 1 random VOID Agent from your discard pile","A dropper secretly installs other malware onto a compromised device"
VD-A19,Zombie Node,VOID,AGENT,1,1,1,"Taunt. When destroyed: deal 1 damage to the attacker","A zombie is an infected machine silently following attacker commands"
VD-A20,Adware,VOID,AGENT,1,1,2,"On play: deal 1 damage to opponent HP","Adware floods users with unwanted ads while leaking their browsing data"
VD-E01,Buffer Overflow,VOID,EXPLOIT,3,0,0,"Destroy one Agent with 3 HP or less","A buffer overflow crashes a program by writing more data than it can hold"
VD-E02,SQL Injection,VOID,EXPLOIT,3,0,0,"Destroy 1 random card in opponent hand","SQL injection inserts malicious commands into a database to steal or destroy data"
VD-E03,Zero-Day,VOID,EXPLOIT,5,0,0,"Destroy any one Agent on the board","A zero-day exploits an unknown vulnerability with no existing patch"
VD-E04,Phishing Attack,VOID,EXPLOIT,1,0,0,"Steal 1 random card from opponent hand","Phishing tricks users into giving up passwords through fake emails or websites"
VD-E05,Session Hijacking,VOID,EXPLOIT,3,0,0,"Opponent skips their next draw phase","Session hijacking steals a login session to impersonate a user online"
VD-E06,Privilege Escalation,VOID,EXPLOIT,2,0,0,"Give one friendly Agent +2 ATK this turn","Privilege escalation gains higher system access than originally permitted"
VD-E07,DDoS Strike,VOID,EXPLOIT,4,0,0,"Deal 1 damage to all enemy Agents","A DDoS floods a target with traffic from many sources until it goes offline"
VD-E08,Cross-Site Scripting,VOID,EXPLOIT,2,0,0,"Deal 3 damage to opponent HP directly","XSS injects malicious scripts into trusted websites to attack other users"
VD-E09,Command Injection,VOID,EXPLOIT,3,0,0,"Take control of one enemy Agent for 1 turn","Command injection sends malicious commands through a vulnerable input field"
VD-E10,Credential Dump,VOID,EXPLOIT,2,0,0,"Reveal opponent full hand","Credential dumping extracts stored passwords from a compromised system"
VD-E11,Lateral Movement,VOID,EXPLOIT,2,0,0,"Give one friendly Agent an extra attack this turn","Lateral movement lets attackers spread deeper into a network after initial access"
VD-E12,DNS Spoofing,VOID,EXPLOIT,2,0,0,"Redirect one opponent Exploit to their own board","DNS spoofing sends users to fake websites by corrupting DNS records"
VD-E13,Packet Manipulation,VOID,EXPLOIT,2,0,0,"Cancel one opponent Exploit before it resolves","Packet manipulation alters data in transit before it reaches its destination"
VD-E14,Wiper,VOID,EXPLOIT,5,0,0,"Destroy all Agents on both sides of the board","Wiper malware permanently deletes all data on an infected system"
VD-E15,Obfuscation,VOID,EXPLOIT,1,0,0,"One friendly Agent cannot be targeted this turn","Obfuscation hides malicious code to make it harder for security tools to find"
VD-P01,Dark Web Listing,VOID,PROTOCOL,2,0,0,"When you have 2 or fewer cards in hand: Draw 3 cards","The dark web is where stolen data and malware tools are bought and sold anonymously"
VD-P02,Steganography,VOID,PROTOCOL,1,0,0,"When opponent targets a friendly Agent with an Exploit: That Exploit is cancelled","Steganography hides secret messages inside ordinary files like images or audio"
VD-P03,Persistence Mechanism,VOID,PROTOCOL,3,0,0,"When a friendly Agent is destroyed: Resummon it with 1 HP","Persistence lets malware survive reboots by hiding in startup processes"
VD-P04,Covert Channel,VOID,PROTOCOL,2,0,0,"When opponent draws a card: Draw 1 card","A covert channel secretly moves data through a system without being noticed"
VD-P05,Identity Spoofing,VOID,PROTOCOL,3,0,0,"When opponent plays an Agent: One friendly Agent gains that Agent's ATK and HP","Identity spoofing fakes a trusted identity to deceive users or security systems"
VD-P06,Foothold Established,VOID,PROTOCOL,2,0,0,"When you destroy an enemy Agent: Gain 1 extra Energy next turn","A foothold is the initial access point an attacker establishes inside a network"
VD-P07,Social Engineering,VOID,PROTOCOL,2,0,0,"When opponent plays an Exploit: Cancel it","Social engineering manipulates people rather than hacking systems directly"
VD-P08,Port Scanning,VOID,PROTOCOL,1,0,0,"When opponent sets a face-down card: Immediately reveal it","Port scanning probes a system to find open ports that could be exploited"
VD-P09,Supply Chain Attack,VOID,PROTOCOL,4,0,0,"When opponent draws their opening hand: Destroy 1 random card from it","Supply chain attacks compromise software before it even reaches the end user"
VD-P10,Exfiltration,VOID,PROTOCOL,3,0,0,"When opponent has 5 or more cards in hand: Deal damage equal to their hand size","Data exfiltration is the unauthorized transfer of data out of a system"
VD-P11,Zero Trust Bypass,VOID,PROTOCOL,3,0,0,"When opponent buffs an Agent: Remove all buffs from that Agent","Zero trust security requires every user and device to be verified at all times"
VD-P12,Malware Dropper,VOID,PROTOCOL,2,0,0,"When a VOID Agent is destroyed: Summon a 1/1 Botnet Token in its place","A dropper installs other malware after the initial infection point is removed"
VD-P13,Spear Phishing,VOID,PROTOCOL,2,0,0,"When opponent draws a card: Steal that card","Spear phishing targets a specific person with personalized deceptive messages"
VD-P14,Command and Control,VOID,PROTOCOL,3,0,0,"When opponent attacks your HP directly: Negate the attack and deal that damage back","C2 servers let attackers remotely control all infected machines in their botnet"
VD-P15,Rootkit Trigger,VOID,PROTOCOL,2,0,0,"When opponent plays an Exploit: One friendly Agent gains Exploit immunity until your next turn","Rootkits protect themselves by intercepting and blocking security tool actions"
SN-A01,Firewall,SENTINEL,AGENT,3,0,6,"Taunt. Blocks the first Exploit played against you each turn","A firewall filters network traffic using rules to block unauthorized access"
SN-A02,Antivirus Engine,SENTINEL,AGENT,3,2,3,"On play: destroy one VOID Agent with 2 HP or less","Antivirus software detects and removes malware using a database of known threats"
SN-A03,IDS Sensor,SENTINEL,AGENT,2,1,2,"On play: reveal all hidden and face-down cards on opponent side","An IDS monitors network traffic and alerts when suspicious activity is detected"
SN-A04,IPS Gateway,SENTINEL,AGENT,3,2,3,"Passive: cancels one enemy attack per turn automatically","An IPS actively blocks detected threats in real time rather than just alerting"
SN-A05,Honeypot,SENTINEL,AGENT,3,0,4,"Taunt. When destroyed: deal 3 damage to the attacker","A honeypot is a decoy system that lures attackers to study their methods"
SN-A06,Security Analyst,SENTINEL,AGENT,3,2,2,"Draw 1 card whenever any Agent is destroyed","Security analysts monitor systems and investigate alerts to identify threats"
SN-A07,Encryption Node,SENTINEL,AGENT,4,1,4,"Adjacent friendly Agents cannot be targeted by Exploits","Encryption converts data into unreadable code so only authorized parties can access it"
SN-A08,White Hat Hacker,SENTINEL,AGENT,4,3,3,"Can attack again after destroying an Agent","White hat hackers legally test systems to find vulnerabilities before attackers do"
SN-A09,Penetration Tester,SENTINEL,AGENT,3,2,2,"On play: reveal opponent full hand and board","Penetration testers simulate real attacks to find and fix vulnerabilities"
SN-A10,Incident Responder,SENTINEL,AGENT,3,1,3,"On play: restore 3 HP to your hero","Incident responders contain and recover from security breaches as quickly as possible"
SN-A11,Sandbox System,SENTINEL,AGENT,2,0,3,"Taunt. Neutralizes the effect of the first Agent that attacks it","A sandbox runs suspicious programs in isolation to safely observe their behavior"
SN-A12,Zero Trust Agent,SENTINEL,AGENT,2,2,2,"Cannot be affected by any card effects from either side","Zero trust security verifies every user and device regardless of their location"
SN-A13,SIEM Monitor,SENTINEL,AGENT,4,1,4,"Draw 1 card every time opponent plays a card","A SIEM collects and analyzes security logs across an entire organization"
SN-A14,Blue Team Operator,SENTINEL,AGENT,4,2,4,"All other friendly Agents gain +1 HP while this is alive","The blue team defends systems and responds to attacks during security exercises"
SN-A15,SOC Defender,SENTINEL,AGENT,5,3,5,"Taunt. Reduces all incoming damage to friendly Agents by 1","A SOC is a team that monitors and responds to cybersecurity threats around the clock"
SN-A16,Threat Hunter,SENTINEL,AGENT,4,3,3,"On play: destroy all hidden enemy Agents","Threat hunters proactively search for hidden threats that automated tools missed"
